20	65
20.05	55
20.1	4
20.15	22
20.2	63
20.25	3
20.3	41
20.35	121
20.4	30
20.45	10
20.5	69
20.55	34
20.6	44
20.65	78
20.7	62
20.75	77
20.8	13
20.85	60
20.9	81
20.95	33
21	49
21.05	23
21.1	35
21.15	83
21.2	61
21.25	38
21.3	79
21.35	72
21.4	60
21.45	82
21.5	35
21.55	83
21.6	91
21.65	27
21.7	32
21.75	69
21.8	48
21.85	96
21.9	87
21.95	35
22	78
22.05	55
22.1	60
22.15	58
22.2	56
22.25	22
22.3	68
22.35	50
22.4	43
22.45	63
22.5	50
22.55	78
22.6	27
22.65	17
22.7	43
22.75	37
22.8	94
22.85	34
22.9	47
22.95	67
23	20
23.05	43
23.1	41
23.15	72
23.2	74
23.25	41
23.3	71
23.35	85
23.4	115
23.45	25
23.5	18
23.55	68
23.6	59
23.65	73
23.7	62
23.75	18
23.8	96
23.85	44
23.9	29
23.95	84
24	28
24.05	74
24.1	39
24.15	42
24.2	30
24.25	38
24.3	97
24.35	50
24.4	80
24.45	64
24.5	96
24.55	46
24.6	59
24.65	77
24.7	53
24.75	50
24.8	41
24.85	74
24.9	71
24.95	54
25	26
25.05	90
25.1	36
25.15	26
25.2	79
25.25	92
25.3	4
25.35	12
25.4	36
25.45	115
25.5	42
25.55	20
25.6	109
25.65	41
25.7	34
25.75	42
25.8	29
25.85	95
25.9	66
25.95	35
26	87
26.05	32
26.1	72
26.15	73
26.2	24
26.25	59
26.3	40
26.35	27
26.4	62
26.45	42
26.5	70
26.55	43
26.6	54
26.65	75
26.7	44
26.75	52
26.8	35
26.85	57
26.9	53
26.95	15
27	55
27.05	43
27.1	41
27.15	61
27.2	53
27.25	52
27.3	78
27.35	44
27.4	21
27.45	46
27.5	24
27.55	36
27.6	53
27.65	11
27.7	40
27.75	37
27.8	65
27.85	94
27.9	4
27.95	68
28	26
28.05	34
28.1	72
28.15	43
28.2	25
28.25	35
28.3	47
28.35	68
28.4	47
28.45	42
28.5	42
28.55	47
28.6	55
28.65	46
28.7	44
28.75	38
28.8	21
28.85	28
28.9	34
28.95	41
29	23
29.05	35
29.1	86
29.15	88
29.2	38
29.25	34
29.3	30
29.35	83
29.4	83
29.45	9
29.5	76
29.55	86
29.6	24
29.65	44
29.7	95
29.75	68
29.8	57
29.85	48
29.9	24
29.95	34
30	65
30.05	65
30.1	18
30.15	12
30.2	75
30.25	80
30.3	52
30.35	93
30.4	41
30.45	35
30.5	92
30.55	85
30.6	71
30.65	123
30.7	71
30.75	33
30.8	86
30.85	73
30.9	13
30.95	49
31	99
31.05	64
31.1	72
31.15	77
31.2	105
31.25	86
31.3	8
31.35	100
31.4	78
31.45	1
31.5	52
31.55	94
31.6	65
31.65	53
31.7	59
31.75	60
31.8	33
31.85	61
31.9	38
31.95	15
32	59
32.05	21
32.1	30
32.15	64
32.2	31
32.25	43
32.3	35
32.35	90
32.4	55
32.45	70
32.5	99
32.55	13
32.6	29
32.65	98
32.7	65
32.75	81
32.8	85
32.85	11
32.9	25
32.95	94
33	73
33.05	3
33.1	39
33.15	57
33.2	1
33.25	35
33.3	72
33.35	36
33.4	51
33.45	47
33.5	36
33.55	38
33.6	30
33.65	46
33.7	91
33.75	38
33.8	47
33.85	46
33.9	61
33.95	21
34	41
34.05	68
34.1	37
34.15	59
34.2	59
34.25	28
34.3	64
34.35	67
34.4	9
34.45	53
34.5	72
34.55	44
34.6	67
34.65	44
34.7	26
34.75	72
34.8	121
34.85	22
34.9	17
34.95	68
35	44
35.05	68
35.1	53
35.15	27
35.2	8
35.25	51
35.3	61
35.35	79
35.4	62
35.45	43
35.5	51
35.55	26
35.6	50
35.65	83
35.7	59
35.75	25
35.8	34
35.85	43
35.9	30
35.95	60
36	40
36.05	51
36.1	60
36.15	50
36.2	43
36.25	59
36.3	35
36.35	26
36.4	52
36.45	71
36.5	23
36.55	9
36.6	99
36.65	75
36.7	90
36.75	89
36.8	32
36.85	22
36.9	65
36.95	79
37	47
37.05	56
